term;category;occurrences;contexts;sourceFiles;sampleLocators;preferredTranslation;notes
boomerang;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.boomerang.@key;;
booze;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.booze.@key;;
boulder trap;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.boulder trap.@key;;
bows;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.bows.@key;;
bram kindly;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.bram kindly.@key;;
bram succubi;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.bram succubi.@key;;
brams castle;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.brams castle.@key;;
breakable barriers;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.breakable barriers.@key;;
brimstone boulder;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.brimstone boulder.@key;;
bubbles;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.bubbles.@key;;
bugbear;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.bugbear.@key;;
button;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.button.@key;;
cauldron;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.cauldron.@key;;
ceiling trap;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.ceiling trap.@key;;
chain armor;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.chain armor.@key;;
chakrams and shurikens;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.chakrams and shurikens.@key;;
cheese and apples;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.cheese and apples.@key;;
chest;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.chest.@key;;
chr;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.chr.@key;;
citadel sanctum;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.citadel sanctum.@key;;
class;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.class.@key;;
classes list;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.classes list.@key;;
cloaks & clothing;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.cloaks & clothing.@key;;
cockatrice;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.cockatrice.@key;;
cockatrice lair;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.cockatrice lair.@key;;
con;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.con.@key;;
containers;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.containers.@key;;
contravention;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.contravention.@key;;
coral grimes;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.coral grimes.@key;;
crab;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.crab.@key;;
cream pie;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.cream pie.@key;;
crits;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.crits.@key;;
crossbow;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.crossbow.@key;;
crowns & headdresses;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.crowns & headdresses.@key;;
crystal ammo;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.crystal ammo.@key;;
crystal armor;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.crystal armor.@key;;
crystal caves;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.crystal caves.@key;;
crystal shard;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.crystal shard.@key;;
crystalgolem;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.crystalgolem.@key;;
daedalus;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.daedalus.@key;;
daimonia;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.daimonia.@key;;
dark_icons;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.dark_icons.@key;;
death box;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.death box.@key;;
defensive potions;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.defensive potions.@key;;
demon;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.demon.@key;;
deudebreau;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.deudebreau.@key;;
devil;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.devil.@key;;
dex;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.dex.@key;;
divinations;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.divinations.@key;;
djinnis brace;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.djinnis brace.@key;;
door;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.door.@key;;
dragons mail;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.dragons mail.@key;;
dryad;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.dryad.@key;;
duck;compendium_entry;2;UI/system text;lang/compendium_lang/lang_items.json | lang/compendium_lang/lang_monsters.json;root.duck.@key;;
dummybot;compendium_entry;2;UI/system text;lang/compendium_lang/lang_items.json | lang/compendium_lang/lang_monsters.json;root.dummybot.@key;;
dyrnwyn;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.dyrnwyn.@key;;
earth_elemental;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.earth_elemental.@key;;
empty bottle;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.empty bottle.@key;;
enchanted amulets;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.enchanted amulets.@key;;
enchanted feather;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.enchanted feather.@key;;
enchanted rings;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.enchanted rings.@key;;
enslaved ghoul;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.enslaved ghoul.@key;;
equipment degradation;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.equipment degradation.@key;;
evocation;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.evocation.@key;;
face accessories;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.face accessories.@key;;
fire and hunting ammo;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.fire and hunting ammo.@key;;
fire sprite;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.fire sprite.@key;;
fist weapons;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.fist weapons.@key;;
flails;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.flails.@key;;
flanking;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.flanking.@key;;
fountain;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.fountain.@key;;
frypan;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.frypan.@key;;
funny bones;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.funny bones.@key;;
gharbad;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.gharbad.@key;;
ghost;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.ghost.@key;;
ghoul;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.ghoul.@key;;
gnome;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.gnome.@key;;
gnome thief;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.gnome thief.@key;;
gnomish mines;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.gnomish mines.@key;;
goatman;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.goatman.@key;;
goblin;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.goblin.@key;;
gold;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.gold.@key;;
gravestone;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.gravestone.@key;;
greatswords;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.greatswords.@key;;
gremlin;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.gremlin.@key;;
gungnir;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.gungnir.@key;;
gyrobot;compendium_entry;2;UI/system text;lang/compendium_lang/lang_items.json | lang/compendium_lang/lang_monsters.json;root.gyrobot.@key;;
hall of trials;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.hall of trials.@key;;
hamlet;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.hamlet.@key;;
hats & hoods;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.hats & hoods.@key;;
haunted castle;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.haunted castle.@key;;
hell;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.hell.@key;;
herx lair;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.herx lair.@key;;
holy_symbols;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.holy_symbols.@key;;
hp;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.hp.@key;;
human;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.human.@key;;
hunters guild;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.hunters guild.@key;;
imp;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.imp.@key;;
impeturia;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.impeturia.@key;;
incubus;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.incubus.@key;;
insectoid;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.insectoid.@key;;
instruments;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.instruments.@key;;
int;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.int.@key;;
iron armor;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.iron armor.@key;;
jewels;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.jewels.@key;;
keys;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.keys.@key;;
khryselakatos;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.khryselakatos.@key;;
kinesis;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.kinesis.@key;;
kobold;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.kobold.@key;;
labyrinth;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.labyrinth.@key;;
lava;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.lava.@key;;
leadership skill;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.leadership skill.@key;;
leather armor;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.leather armor.@key;;
legendary strikes;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.legendary strikes.@key;;
leveling up;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.leveling up.@key;;
lever;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.lever.@key;;
lich;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.lich.@key;;
lichfire;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.lichfire.@key;;
lichice;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.lichice.@key;;
lilith;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.lilith.@key;;
lockpick;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.lockpick.@key;;
lore skill;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.lore skill.@key;;
mace skill;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.mace skill.@key;;
maces;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.maces.@key;;
magic trap;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.magic trap.@key;;
magicians guild;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.magicians guild.@key;;
magicstaffs;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.magicstaffs.@key;;
mail & lore books;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.mail & lore books.@key;;
masks & visors;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.masks & visors.@key;;
masons guild;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.masons guild.@key;;
meat, fish, and bread;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.meat, fish, and bread.@key;;
meditations;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.meditations.@key;;
melee;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.melee.@key;;
memorized;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.memorized.@key;;
merchants guild;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.merchants guild.@key;;
mimic;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.mimic.@key;;
minehead;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.minehead.@key;;
mines;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.mines.@key;;
minetown;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.minetown.@key;;
mining pick;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.mining pick.@key;;
minotaur;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.minotaur.@key;;
minotaur maze;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.minotaur maze.@key;;
miraculous feats;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.miraculous feats.@key;;
mirrors;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.mirrors.@key;;
missiles;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.missiles.@key;;
molten throne;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.molten throne.@key;;
mp;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.mp.@key;;
murky water;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.murky water.@key;;
myconid;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.myconid.@key;;
mysterious shop;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.mysterious shop.@key;;
mystic library;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.mystic library.@key;;
mystic orb;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.mystic orb.@key;;
mysticism skill;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.mysticism skill.@key;;
noisemaker;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.noisemaker.@key;;
obelisk;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.obelisk.@key;;
offensive potions;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.offensive potions.@key;;
offhand casting;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.offhand casting.@key;;
oracles treads;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.oracles treads.@key;;
parashu;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.parashu.@key;;
per;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.per.@key;;
pits;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.pits.@key;;
polearm skill;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.polearm skill.@key;;
polearms;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.polearms.@key;;
portcullis;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.portcullis.@key;;
potato king;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.potato king.@key;;
psianimus;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.psianimus.@key;;
pwr;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.pwr.@key;;
quilted armor;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.quilted armor.@key;;
races;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.races.@key;;
ranged skill;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.ranged skill.@key;;
rapier;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.rapier.@key;;
rat;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.rat.@key;;
rations;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.rations.@key;;
res;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.res.@key;;
revenant_skull;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.revenant_skull.@key;;
rgn;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.rgn.@key;;
rocks & gems;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.rocks & gems.@key;;
ruins;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.ruins.@key;;
salamander;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.salamander.@key;;
sarkomancy;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.sarkomancy.@key;;
scarab;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.scarab.@key;;
scepter;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.scepter.@key;;
scorpion;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.scorpion.@key;;
scrolls;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.scrolls.@key;;
sentrybot;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.sentrybot.@key;;
sentrybot and magic sentry;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.sentrybot and magic sentry.@key;;
shadow;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.shadow.@key;;
sharur;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.sharur.@key;;
shelob;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.shelob.@key;;
shields;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.shields.@key;;
shillelagh;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.shillelagh.@key;;
shop;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.shop.@key;;
shopkeeper;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.shopkeeper.@key;;
silver and piercing ammo;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.silver and piercing ammo.@key;;
sink;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.sink.@key;;
skeleton;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.skeleton.@key;;
skeleton key;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.skeleton key.@key;;
skills;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.skills.@key;;
skrabblag;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.skrabblag.@key;;
slime;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.slime.@key;;
slingshot;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.slingshot.@key;;
sludge balls;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.sludge balls.@key;;
sneaking;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.sneaking.@key;;
sokoban;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.sokoban.@key;;
sorcery skill;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.sorcery skill.@key;;
source_foci;compendium_entry;1;UI/system text;lang/compendium_lang/lang_magic.json;root.source_foci.@key;;
spellbook casting;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.spellbook casting.@key;;
spellbot;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.spellbot.@key;;
sphinxs casque;compendium_entry;1;UI/system text;lang/compendium_lang/lang_items.json;root.sphinxs casque.@key;;
spider;compendium_entry;1;UI/system text;lang/compendium_lang/lang_monsters.json;root.spider.@key;;
spike trap;compendium_entry;1;UI/system text;lang/compendium_lang/lang_world.json;root.spike trap.@key;;
stats metastats;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.stats metastats.@key;;
stealth skill;compendium_entry;1;UI/system text;lang/compendium_lang/lang_codex.json;root.stealth skill.@key;;
